"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC105370664",0.241666951691919,1.18940117237621,7.40065799119017,0.160715597693082,0.872317403952918,NA
"LOC105370668",0.406799519114322,2.16312201764943,4.1864280439918,0.516698721420486,0.605366488747612,NA
"LOC105370670",13.1195420127733,6.24593608899112,1.29885955798998,4.80878479168055,1.51850576465443e-06,8.54248966863509e-06
"LOC105370672",13.3848373029887,0.983166205094759,0.505350824270944,1.94551222215408,0.0517133601618333,0.107734017653854
"LOC105370677",5.59756981304279,0.731543737579263,0.704438143829299,1.03847831635382,0.299047425194532,0.442245032762457
"LOC105370679",0.517182670706223,1.81967733663407,2.47225260236537,0.736040214860352,0.461706224496069,NA
"LOC105370680",0.280458851184255,-0.718053676832072,6.08125855303374,-0.118076491990932,0.906007049805892,NA
"LOC105370687",82.5639134570375,0.230924947136817,0.17063563577146,1.3533219253574,0.175952807687545,0.293024736943668
"LOC105370688",0.229363176286096,1.18900643726667,9.33325865099995,0.127394566220371,0.898628116728963,NA
"LOC105370689",8.96961878501584,0.616108656279194,0.625955192752317,0.984269582572151,0.324982981085677,0.470303930706158
"LOC105370700",0.142782412889753,0.226959740354728,11.5289076842605,0.0196861443052907,0.984293743881903,NA
"LOC105370705",2.34751689662845,1.6904222460136,1.07625033295575,1.5706589761242,0.116261883029091,0.210637989769036
"LOC105370732",0.119588589127561,0.227138020848712,11.5289076838366,0.0197016080861813,0.984281407962347,NA
"LOC105370733",52.7357045676858,2.94831697736227,0.468843542944878,6.28848796518224,3.20572914903634e-10,2.86730849154707e-09
"LOC105370743",5.92322384912533,-0.82332898312557,0.589321872019368,-1.39707861224352,0.162389932620666,0.27513632310297
"LOC105370751",2.14282176147743,-3.35655481073553,1.36474715298413,-2.45947009553832,0.013914228907539,0.0351530650081394
"LOC105370752",0.145795774743762,0.226948081998446,11.5289076843959,0.0196851330768843,0.984294550569116,NA
"LOC105370753",0.679802986373867,-0.0279522865088345,1.68529198255362,-0.0165860199883465,0.986766877458889,NA
"LOC105370756",1.76253477939447,0.22845688249499,3.14026837064338,0.0727507510602298,0.942004462006615,0.977543873710954
"LOC105370763",0.14749944390263,0.22700075674563,11.5289076841278,0.0196897020051734,0.984290905798189,NA
"LOC105370764",0.217273290959996,0.226976820099131,11.5289076834336,0.019687625777877,0.984292562066842,NA
"LOC105370765",1.84347551860606,0.825321209601356,1.49785242897537,0.551003018478882,0.581631605369026,0.72052055230876
"LOC105370767",0.844826412153587,3.1306433931508,2.18377115824225,1.4335949906357,0.15168787386258,0.260579991414352
"LOC105370774",2.93259234273486,-0.466821686232639,0.83321420949101,-0.560266112741655,0.575297937964677,0.715092071668348
